type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number,latitude,longitude
Найпростіше укриття,,32,так,Львівський,Львівська,Львів,Богдана Лепкого,11,49.841427350000004,24.020675971721946
Найпростіше укриття,,19,так,Львівський,Львівська,Львів,Богдана Лепкого,12,49.841807599999996,24.019931203664598
Найпростіше укриття,,100,так,Львівський,Львівська,Брюховичі,Ясна,17,,
Найпростіше укриття,,100,так,Львівський,Львівська,Дубляни,Бічна Інститутська,4,,
Найпростіше укриття,,200,так,Львівський,Львівська,Брюховичі,Широка,13,,
Найпростіше укриття,,170,так,Львівський,Львівська,Брюховичі,Широка,11,,
Найпростіше укриття,,121,так,Львівський,Львівська,Винники,Ринок,4,,
Найпростіше укриття,,250,так,Львівський,Львівська,Брюховичі,Василя Сухомлинського,16,,
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Богдана Хмельницького,76,49.8526952,24.036706420972546
Найпростіше укриття,,150,так,Львівський,Львівська,Брюховичі,Прилуцька,8,,
Найпростіше укриття,,150,так,Львівський,Львівська,Брюховичі,Прилуцька,10,,
Найпростіше укриття,,220,так,Львівський,Львівська,Брюховичі,Прилуцька,14,,
Найпростіше укриття,,150,так,Львівський,Львівська,Брюховичі,Прилуцька,12,,
Найпростіше укриття,,250,так,Львівський,Львівська,Львів,Богдана Хмельницького,109А,49.853552,24.036348555645223
Найпростіше укриття,,150,так,Львівський,Львівська,Дубляни,Львівська,14,,
Найпростіше укриття,,170,так,Львівський,Львівська,Гряда,Тараса Шевченка,44,,
Найпростіше укриття,,37,так,Львівський,Львівська,Львів,Антоновича,8,49.834492350000005,24.006207268409092
Найпростіше укриття,,80,так,Львівський,Львівська,Львів,Варшавська,21,49.856836200000004,24.01245193350975
Найпростіше укриття,,260,так,Львівський,Львівська,Дубляни,Тараса Шевченка,24,,
Найпростіше укриття,,398,так,Стрийський,Миколаївська,Дроговиж,Шкільна,3,,
Найпростіше укриття,,100,так,Львівський,Львівська,Гряда,Тараса Шевченка,38,,
Найпростіше укриття,,31,так,Львівський,Львівська,Львів,Антоновича,9,49.83419045,24.006317283768492
Найпростіше укриття,,110,так,Львівський,Львівська,Львів,Вернигори,7,49.83991875,24.005899458654277
Найпростіше укриття,,46,так,Львівський,Львівська,Львів,Антоновича,10,49.83439885,24.00599924342312
Найпростіше укриття,,103,так,Львівський,Львівська,Львів,Левандівська,30,49.84379155,23.980494246895077
Найпростіше укриття,,52,так,Золочівський,Бродівська,Броди,Гончарська,7,,
Найпростіше укриття,,16,так,Львівський,Львівська,Львів,Івана Вишенського,11,49.84064775,24.049499812123283
Найпростіше укриття,,10,так,Львівський,Львівська,Львів,Антоновича,11,49.834088550000004,24.006052722190034
Найпростіше укриття,,33,так,Львівський,Львівська,Львів,Івана Вишенського,13,49.840731500000004,24.04973302570423
Найпростіше укриття,,30,так,Львівський,Львівська,Львів,Антоновича,13,49.83400375,24.005855490196446
Найпростіше укриття,,15,так,Львівський,Львівська,Львів,Іван Вишенського,14,,
Найпростіше укриття,,33,так,Львівський,Львівська,Львів,Антоновича,15,49.8339562,24.005680405948176
Найпростіше укриття,,840,так,Львівський,Львівська,Львів,Залізнична ,7К,49.845093649999995,23.998103352235837
Найпростіше укриття,,126,так,Львівський,Львівська,Львів,Олесницького,2,49.843493300000006,23.9782555
Найпростіше укриття,,37,так,Львівський,Львівська,Львів,Антоновича,19,49.83377815,24.005265393167278
Найпростіше укриття,,111,так,Львівський,Львівська,Львів,Затишна,2,49.84058215,24.000841103511803
Найпростіше укриття,,16,так,Львівський,Львівська,Львів,Івана Вишенського,14А,49.84044485,24.049909036344538
Найпростіше укриття,,840,так,Львівський,Львівська,Львів,Залізнична ,7Л,49.84508395,23.99848165223584
Найпростіше укриття,,64,так,Львівський,Львівська,Львів,Чижевського,43,49.845208,23.974639306669218
Найпростіше укриття,,444,так,Львівський,Львівська,Львів,Караджича,13,49.825490900000005,23.96980058681917
Найпростіше укриття,,17,так,Львівський,Львівська,Львів,Івана Вишенського,17,49.840958099999995,24.049947728543863
Найпростіше укриття,,40,так,Львівський,Львівська,Львів,Антоновича,22,49.8338532,24.004548411520403
Найпростіше укриття,,450,так,Львівський,Львівська,Львів,Широка,78,49.843648400000006,23.962375085824835
Найпростіше укриття,,20,так,Львівський,Львівська,Львів,Івана Вишенського,19,49.84108445,24.04997094247115
Найпростіше укриття,,492,так,Львівський,Львівська,Львів,Караджича,29Б,49.8262724,23.9725219
Найпростіше укриття,,1255,так,Львівський,Львівська,Львів,Каховська,6,49.82601845,23.954343673670515
Найпростіше укриття,,22,так,Львівський,Львівська,Львів,Івана Вишенського,23,49.8412504,24.050167589710156
Найпростіше укриття,,1289,так,Львівський,Львівська,Львів,Каховська,8,49.825706600000004,23.952877154322266
Найпростіше укриття,,40,так,Львівський,Львівська,Львів,Антоновича,29,49.83326835,24.00429120980067
Найпростіше укриття,,37,так,Львівський,Львівська,Львів,Антоновича,30,49.83338665,24.003679640081884
Найпростіше укриття,,1100,так,Львівський,Львівська,Львів,Антоновича,"31А, 31Б",,
Найпростіше укриття,,652,так,Львівський,Львівська,Рясне-Руське,Наукова,2,,
Найпростіше укриття,,31,так,Львівський,Львівська,Львів,Івана Вишенського,31,49.84168445,24.050504959887192
Найпростіше укриття,,84,так,Львівський,Львівська,Львів,Коротка,11А,49.8373787,24.00276508598037
Найпростіше укриття,,35,так,Львівський,Львівська,Львів,Антоновича,38,49.833070899999996,24.002788485477197
Найпростіше укриття,,902,так,Львівський,Львівська,Львів,Садова,15,49.87439430217892,23.89476893644853
Найпростіше укриття,,131,так,Львівський,Львівська,Львів,Квітка Основ'яненка,20,,
Найпростіше укриття,,285,так,Львівський,Львівська,Львів,Петлюри,43А,49.82038795,23.983319927552934
Найпростіше укриття,,90,так,Львівський,Львівська,Львів,Коротка,3,49.83755465,24.004429054196585
Найпростіше укриття,,467,так,Львівський,Львівська,Львів,Караджича,29В,49.82594795,23.97280680839525
Найпростіше укриття,,37,так,Львівський,Львівська,Львів,Антоновича,58,49.831762850000004,24.000603870092352
Найпростіше укриття,,134,так,Львівський,Львівська,Львів,"Квітка Основ""яненка",25,,
Найпростіше укриття,,595,так,Львівський,Львівська,Львів,Любінська,89В,49.822140399999995,23.977678316056316
Найпростіше укриття,,144,так,Львівський,Львівська,Львів,Коротка,8,49.8377568,24.003595774435453
Найпростіше укриття,,39,так,Львівський,Львівська,Львів,Антоновича,72,49.8307585,23.99900411044509
Найпростіше укриття,,106,так,Львівський,Львівська,Львів,Квітка Основ'яненка,27,,
Найпростіше укриття,,848,так,Львівський,Львівська,Львів,Братів Дужих,12,49.84469385,24.003086584348054
Найпростіше укриття,,49,так,Львівський,Львівська,Львів,Антоновича,115А,49.82692175,23.993175524529256
Найпростіше укриття,,8,так,Львівський,Львівська,Львів,Миколи Голубця,2,49.833315299999995,24.067996956082858
Найпростіше укриття,,295,так,Львівський,Львівська,Львів,Кричевського,65,49.821954,23.96643560277571
Найпростіше укриття,,128,так,Львівський,Львівська,Львів,Квітка Основ'яненка,28,,
Найпростіше укриття,,780,так,Львівський,Львівська,Львів,Кричевського,67,49.8219754,23.965943442430138
Найпростіше укриття,,82,так,Львівський,Львівська,Львів,Квітка Основ'яненка,31А,,
Найпростіше укриття,,600,так,Львівський,Львівська,Львів,Караджича ,29,49.8258004,23.9723101
Найпростіше укриття,,387,так,Львівський,Львівська,Львів,Караджича,29Г,49.8258004,23.9723101
Найпростіше укриття,,41,так,Львівський,Львівська,Львів,Антоновича,115В,49.826564,23.992550424353333
Найпростіше укриття,,120,так,Львівський,Львівська,Львів,Квітка Основ'яненка,34,,
Найпростіше укриття,,500,так,Львівський,Львівська,Львів,Любінська,93А,49.83099948312455,23.989480538233202
Найпростіше укриття,,37,так,Львівський,Львівська,Львів,Антоновича,121,49.826003,23.99156223391985
Найпростіше укриття,,590,так,Львівський,Львівська,Львів,Хотинська,6,49.83805035,24.00500090136174
Найпростіше укриття,,86,так,Львівський,Львівська,Львів,Квітка Основ'яненка,35,,
Найпростіше укриття,,38,так,Львівський,Львівська,Львів,Антоновича,62,49.8315342,24.00045145
Найпростіше укриття,,1441,так,Львівський,Львівська,Львів,Вигоди ,27,49.839422299999995,23.974382994378775
Найпростіше укриття,,831,так,Львівський,Львівська,Львів,Олени Степанівни,13,49.8420603,24.007712819306846
Найпростіше укриття,,518,так,Львівський,Львівська,Львів,Кульпарківська,128,49.8188428,23.985106590137082
Найпростіше укриття,,503,так,Львівський,Львівська,Львів,Виговського,7А,49.8161077826527,23.97282977998425
Найпростіше укриття,,48,так,Львівський,Львівська,Львів,Івана Багряного,38,49.82819335,23.977961358489303
