type_of_room,account_number,capacity_of_persons,ability_to_publish_information,district,community,city,street,building_number
Найпростіше укриття,null,32,так,Львівський,Львівська,Львів,Богдана Лепкого,11
Найпростіше укриття,null,19,так,Львівський,Львівська,Львів,Богдана Лепкого,12
Найпростіше укриття,null,100,так,Львівський,Львівська,Брюховичі,Ясна,17
Найпростіше укриття,null,100,так,Львівський,Львівська,Дубляни,Бічна Інститутська,4
Найпростіше укриття,null,200,так,Львівський,Львівська,Брюховичі,Широка,13
Найпростіше укриття,null,170,так,Львівський,Львівська,Брюховичі,Широка,11
Найпростіше укриття,null,121,так,Львівський,Львівська,Винники,Ринок,4
Найпростіше укриття,null,250,так,Львівський,Львівська,Брюховичі,Василя Сухомлинського,16
Найпростіше укриття,null,450,так,Львівський,Львівська,Львів,Богдана Хмельницького,76
Найпростіше укриття,null,150,так,Львівський,Львівська,Брюховичі,Прилуцька,8
Найпростіше укриття,null,150,так,Львівський,Львівська,Брюховичі,Прилуцька,10
Найпростіше укриття,null,220,так,Львівський,Львівська,Брюховичі,Прилуцька,14
Найпростіше укриття,null,150,так,Львівський,Львівська,Брюховичі,Прилуцька,12
Найпростіше укриття,null,250,так,Львівський,Львівська,Львів,Богдана Хмельницького,109А
Найпростіше укриття,null,150,так,Львівський,Львівська,Дубляни,Львівська,14
Найпростіше укриття,null,170,так,Львівський,Львівська,Гряда,Тараса Шевченка,44
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Антоновича,8
Найпростіше укриття,null,80,так,Львівський,Львівська,Львів,Варшавська,21
Найпростіше укриття,null,260,так,Львівський,Львівська,Дубляни,Тараса Шевченка,24
Найпростіше укриття,null,398,так,Стрийський,Миколаївська,Дроговиж,Шкільна,3
Найпростіше укриття,null,100,так,Львівський,Львівська,Гряда,Тараса Шевченка,38
Найпростіше укриття,null,31,так,Львівський,Львівська,Львів,Антоновича,9
Найпростіше укриття,null,110,так,Львівський,Львівська,Львів,Вернигори,7
Найпростіше укриття,null,46,так,Львівський,Львівська,Львів,Антоновича,10
Найпростіше укриття,null,103,так,Львівський,Львівська,Львів,Левандівська,30
Найпростіше укриття,null,52,так,Золочівський,Бродівська,Броди,Гончарська,7
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Івана Вишенського,11
Найпростіше укриття,null,10,так,Львівський,Львівська,Львів,Антоновича,11
Найпростіше укриття,null,33,так,Львівський,Львівська,Львів,Івана Вишенського,13
Найпростіше укриття,null,30,так,Львівський,Львівська,Львів,Антоновича,13
Найпростіше укриття,null,15,так,Львівський,Львівська,Львів,Іван Вишенського,14
Найпростіше укриття,null,33,так,Львівський,Львівська,Львів,Антоновича,15
Найпростіше укриття,null,840,так,Львівський,Львівська,Львів,Залізнична ,7К
Найпростіше укриття,null,126,так,Львівський,Львівська,Львів,Олесницького,2
Найпростіше укриття,null,37,так,Львівський,Львівська,Львів,Антоновича,19
Найпростіше укриття,null,111,так,Львівський,Львівська,Львів,Затишна,2
Найпростіше укриття,null,16,так,Львівський,Львівська,Львів,Івана Вишенського,14А
Найпростіше укриття,null,840,так,Львівський,Львівська,Львів,Залізнична ,7Л
